timestamp,load_forecast_k1,load_forecast_k2,load_forecast_k3,load_forecast_k4,load_forecast_k5
1/6/07 6:00,12541,12541,12541,12541,12541
1/6/07 7:00,12966,12966,12966,12966,12966
1/6/07 8:00,13055,13055,13055,13055,13055
1/6/07 9:00,12973,12973,12973,12973,12973
1/6/07 10:00,13002,13002,13002,13002,13002
1/6/07 11:00,12819,12819,12819,12819,12819
1/6/07 12:00,12794,12794,12794,12794,12794
1/6/07 13:00,12760,12760,12760,12760,12760
1/6/07 14:00,12728,12728,12728,12728,12728
1/6/07 15:00,12851,12851,12851,12851,12851
1/6/07 16:00,13511,13511,13511,13511,13511
1/6/07 17:00,13551,13551,13551,13551,13551
1/6/07 18:00,12984,12984,12984,12984,12984
1/6/07 19:00,12372,12372,12372,12372,12372
1/6/07 20:00,11706,11706,11706,11706,11706
1/6/07 21:00,11872,11872,11872,11872,11872
1/6/07 22:00,11783,11783,11783,11783,11783
1/6/07 23:00,11079,11079,11079,11079,11079
1/7/07 0:00,10511,10511,10511,10511,10511
1/7/07 1:00,10177,10177,10177,10177,10177
1/7/07 2:00,10019,10019,10019,10019,10019
1/7/07 3:00,10003,10003,10003,10003,10003
1/7/07 4:00,10361,10361,10361,10361,10361
1/7/07 5:00,11397,11397,11397,11397,11397
1/7/07 6:00,12471,12471,12471,12471,12471
1/7/07 7:00,12856,12856,12856,12856,12856
1/7/07 8:00,12799,12799,12799,12799,12799
1/7/07 9:00,12662,12662,12662,12662,12662
1/7/07 10:00,12769,12769,12769,12769,12769
1/7/07 11:00,12580,12580,12580,12580,12580
1/7/07 12:00,12561,12561,12561,12561,12561
1/7/07 13:00,12507,12507,12507,12507,12507
1/7/07 14:00,12503,12503,12503,12503,12503
1/7/07 15:00,12646,12646,12646,12646,12646
1/7/07 16:00,13388,13388,13388,13388,13388
1/7/07 17:00,13398,13398,13398,13398,13398
1/7/07 18:00,12779,12779,12779,12779,12779
1/7/07 19:00,12210,12210,12210,12210,12210
1/7/07 20:00,11580,11580,11580,11580,11580
1/7/07 21:00,11651,11651,11651,11651,11651
1/7/07 22:00,11735,11735,11735,11735,11735
1/7/07 23:00,10996,10996,10996,10996,10996
1/8/07 0:00,10519,10519,10519,10519,10519
1/8/07 1:00,10083,10083,10083,10083,10083
1/8/07 2:00,9803,9803,9803,9803,9803
1/8/07 3:00,9828,9828,9828,9828,9828
1/8/07 4:00,10238,10238,10238,10238,10238
1/8/07 5:00,11277,11277,11277,11277,11277
1/8/07 6:00,12299,12299,12299,12299,12299
1/8/07 7:00,12731,12731,12731,12731,12731
1/8/07 8:00,12854,12854,12854,12854,12854
1/8/07 9:00,12926,12926,12926,12926,12926
1/8/07 10:00,13087,13087,13087,13087,13087
1/8/07 11:00,12757,12757,12757,12757,12757
1/8/07 12:00,12868,12868,12868,12868,12868
1/8/07 13:00,12825,12825,12825,12825,12825
1/8/07 14:00,12772,12772,12772,12772,12772
1/8/07 15:00,12828,12828,12828,12828,12828
1/8/07 16:00,13380,13380,13380,13380,13380
1/8/07 17:00,13326,13326,13326,13326,13326
1/8/07 18:00,12690,12690,12690,12690,12690
1/8/07 19:00,12076,12076,12076,12076,12076
1/8/07 20:00,11582,11582,11582,11582,11582
1/8/07 21:00,11764,11764,11764,11764,11764
1/8/07 22:00,11608,11608,11608,11608,11608
1/8/07 23:00,10944,10944,10944,10944,10944
1/9/07 0:00,10393,10393,10393,10393,10393
1/9/07 1:00,10041,10041,10041,10041,10041
1/9/07 2:00,9870,9870,9870,9870,9870
1/9/07 3:00,9750,9750,9750,9750,9750
1/9/07 4:00,10206,10206,10206,10206,10206
1/9/07 5:00,11222,11222,11222,11222,11222
1/9/07 6:00,12107,12107,12107,12107,12107
1/9/07 7:00,12682,12682,12682,12682,12682
1/9/07 8:00,12725,12725,12725,12725,12725
1/9/07 9:00,12757,12757,12757,12757,12757
1/9/07 10:00,12913,12913,12913,12913,12913
1/9/07 11:00,12608,12608,12608,12608,12608
1/9/07 12:00,12505,12505,12505,12505,12505
1/9/07 13:00,12279,12279,12279,12279,12279
1/9/07 14:00,12169,12169,12169,12169,12169
1/9/07 15:00,12350,12350,12350,12350,12350
1/9/07 16:00,12776,12776,12776,12776,12776
1/9/07 17:00,12703,12703,12703,12703,12703
1/9/07 18:00,12133,12133,12133,12133,12133
1/9/07 19:00,11426,11426,11426,11426,11426
1/9/07 20:00,10908,10908,10908,10908,10908
1/9/07 21:00,11108,11108,11108,11108,11108
1/9/07 22:00,11104,11104,11104,11104,11104
1/9/07 23:00,10498,10498,10498,10498,10498
1/10/07 0:00,9836,9836,9836,9836,9836
1/10/07 1:00,9323,9323,9323,9323,9323
1/10/07 2:00,9085,9085,9085,9085,9085
1/10/07 3:00,8771,8771,8771,8771,8771
1/10/07 4:00,8896,8896,8896,8896,8896
1/10/07 5:00,9099,9099,9099,9099,9099
1/10/07 6:00,9490,9490,9490,9490,9490
1/10/07 7:00,10176,10176,10176,10176,10176
1/10/07 8:00,10684,10684,10684,10684,10684
1/10/07 9:00,11085,11085,11085,11085,11085
1/10/07 10:00,11232,11232,11232,11232,11232
1/10/07 11:00,11292,11292,11292,11292,11292
1/10/07 12:00,11068,11068,11068,11068,11068
1/10/07 13:00,10862,10862,10862,10862,10862
1/10/07 14:00,10872,10872,10872,10872,10872
1/10/07 15:00,10887,10887,10887,10887,10887
1/10/07 16:00,11481,11481,11481,11481,11481
1/10/07 17:00,11694,11694,11694,11694,11694
1/10/07 18:00,11249,11249,11249,11249,11249
1/10/07 19:00,10810,10810,10810,10810,10810
1/10/07 20:00,10403,10403,10403,10403,10403
1/10/07 21:00,10497,10497,10497,10497,10497
1/10/07 22:00,10555,10555,10555,10555,10555
1/10/07 23:00,10035,10035,10035,10035,10035
1/11/07 0:00,9648,9648,9648,9648,9648
1/11/07 1:00,9216,9216,9216,9216,9216
1/11/07 2:00,8983,8983,8983,8983,8983
1/11/07 3:00,8943,8943,8943,8943,8943
1/11/07 4:00,8868,8868,8868,8868,8868
1/11/07 5:00,8955,8955,8955,8955,8955
1/11/07 6:00,8976,8976,8976,8976,8976
1/11/07 7:00,9403,9403,9403,9403,9403
1/11/07 8:00,9962,9962,9962,9962,9962
1/11/07 9:00,10349,10349,10349,10349,10349
1/11/07 10:00,10680,10680,10680,10680,10680
1/11/07 11:00,10896,10896,10896,10896,10896
1/11/07 12:00,10659,10659,10659,10659,10659
1/11/07 13:00,10345,10345,10345,10345,10345
1/11/07 14:00,10187,10187,10187,10187,10187
1/11/07 15:00,10286,10286,10286,10286,10286
1/11/07 16:00,11097,11097,11097,11097,11097
1/11/07 17:00,11454,11454,11454,11454,11454
1/11/07 18:00,11315,11315,11315,11315,11315
1/11/07 19:00,10948,10948,10948,10948,10948
1/11/07 20:00,10460,10460,10460,10460,10460
1/11/07 21:00,10567,10567,10567,10567,10567
1/11/07 22:00,10564,10564,10564,10564,10564
1/11/07 23:00,10024,10024,10024,10024,10024
1/12/07 0:00,9550,9550,9550,9550,9550
1/12/07 1:00,9166,9166,9166,9166,9166
1/12/07 2:00,8946,8946,8946,8946,8946
1/12/07 3:00,9027,9027,9027,9027,9027
1/12/07 4:00,9493,9493,9493,9493,9493
1/12/07 5:00,10801,10801,10801,10801,10801
1/12/07 6:00,11927,11927,11927,11927,11927
1/12/07 7:00,12415,12415,12415,12415,12415
1/12/07 8:00,12440,12440,12440,12440,12440
1/12/07 9:00,12480,12480,12480,12480,12480
1/12/07 10:00,12631,12631,12631,12631,12631
1/12/07 11:00,12537,12537,12537,12537,12537
1/12/07 12:00,12612,12612,12612,12612,12612
1/12/07 13:00,12477,12477,12477,12477,12477
1/12/07 14:00,12404,12404,12404,12404,12404
1/12/07 15:00,12454,12454,12454,12454,12454
1/12/07 16:00,13034,13034,13034,13034,13034
1/12/07 17:00,13064,13064,13064,13064,13064
1/12/07 18:00,12546,12546,12546,12546,12546
1/12/07 19:00,11839,11839,11839,11839,11839
1/12/07 20:00,11230,11230,11230,11230,11230
1/12/07 21:00,11294,11294,11294,11294,11294
1/12/07 22:00,11132,11132,11132,11132,11132
1/12/07 23:00,10483,10483,10483,10483,10483
1/13/07 0:00,9877,9877,9877,9877,9877
1/13/07 1:00,9537,9537,9537,9537,9537
1/13/07 2:00,9217,9217,9217,9217,9217
1/13/07 3:00,9246,9246,9246,9246,9246
1/13/07 4:00,9819,9819,9819,9819,9819
1/13/07 5:00,10972,10972,10972,10972,10972
1/13/07 6:00,11944,11944,11944,11944,11944
1/13/07 7:00,12236,12236,12236,12236,12236
1/13/07 8:00,12320,12320,12320,12320,12320
1/13/07 9:00,12491,12491,12491,12491,12491
1/13/07 10:00,12825,12825,12825,12825,12825
1/13/07 11:00,12691,12691,12691,12691,12691
1/13/07 12:00,12723,12723,12723,12723,12723
1/13/07 13:00,12545,12545,12545,12545,12545
1/13/07 14:00,12357,12357,12357,12357,12357
1/13/07 15:00,12309,12309,12309,12309,12309
1/13/07 16:00,12821,12821,12821,12821,12821
1/13/07 17:00,13036,13036,13036,13036,13036
1/13/07 18:00,12446,12446,12446,12446,12446
1/13/07 19:00,11790,11790,11790,11790,11790
1/13/07 20:00,11192,11192,11192,11192,11192
1/13/07 21:00,11347,11347,11347,11347,11347
1/13/07 22:00,11299,11299,11299,11299,11299
1/13/07 23:00,10564,10564,10564,10564,10564
1/14/07 0:00,10058,10058,10058,10058,10058
1/14/07 1:00,9628,9628,9628,9628,9628
1/14/07 2:00,9504,9504,9504,9504,9504
1/14/07 3:00,9488,9488,9488,9488,9488
1/14/07 4:00,10021,10021,10021,10021,10021
1/14/07 5:00,11107,11107,11107,11107,11107
1/14/07 6:00,12048,12048,12048,12048,12048
1/14/07 7:00,12663,12663,12663,12663,12663
1/14/07 8:00,12857,12857,12857,12857,12857
1/14/07 9:00,12847,12847,12847,12847,12847
1/14/07 10:00,13039,13039,13039,13039,13039
1/14/07 11:00,12678,12678,12678,12678,12678
1/14/07 12:00,12617,12617,12617,12617,12617
1/14/07 13:00,12496,12496,12496,12496,12496
1/14/07 14:00,12427,12427,12427,12427,12427
1/14/07 15:00,12349,12349,12349,12349,12349
1/14/07 16:00,12941,12941,12941,12941,12941
1/14/07 17:00,13231,13231,13231,13231,13231
1/14/07 18:00,12747,12747,12747,12747,12747
1/14/07 19:00,12082,12082,12082,12082,12082
1/14/07 20:00,11466,11466,11466,11466,11466
1/14/07 21:00,11594,11594,11594,11594,11594
1/14/07 22:00,11496,11496,11496,11496,11496
1/14/07 23:00,10742,10742,10742,10742,10742
1/15/07 0:00,10145,10145,10145,10145,10145
1/15/07 1:00,9723,9723,9723,9723,9723
1/15/07 2:00,9557,9557,9557,9557,9557
1/15/07 3:00,9520,9520,9520,9520,9520
1/15/07 4:00,10017,10017,10017,10017,10017
1/15/07 5:00,11024,11024,11024,11024,11024
1/15/07 6:00,12056,12056,12056,12056,12056
1/15/07 7:00,12538,12538,12538,12538,12538
1/15/07 8:00,12570,12570,12570,12570,12570
1/15/07 9:00,12653,12653,12653,12653,12653
1/15/07 10:00,12861,12861,12861,12861,12861
1/15/07 11:00,12602,12602,12602,12602,12602
1/15/07 12:00,12672,12672,12672,12672,12672
1/15/07 13:00,12560,12560,12560,12560,12560
1/15/07 14:00,12487,12487,12487,12487,12487
1/15/07 15:00,12426,12426,12426,12426,12426
1/15/07 16:00,13035,13035,13035,13035,13035
1/15/07 17:00,13144,13144,13144,13144,13144
1/15/07 18:00,12597,12597,12597,12597,12597
1/15/07 19:00,12008,12008,12008,12008,12008
1/15/07 20:00,11380,11380,11380,11380,11380
1/15/07 21:00,11573,11573,11573,11573,11573
1/15/07 22:00,11486,11486,11486,11486,11486
1/15/07 23:00,10762,10762,10762,10762,10762
1/16/07 0:00,10338,10338,10338,10338,10338
1/16/07 1:00,9938,9938,9938,9938,9938
1/16/07 2:00,9740,9740,9740,9740,9740
1/16/07 3:00,9739,9739,9739,9739,9739
1/16/07 4:00,10166,10166,10166,10166,10166
1/16/07 5:00,11339,11339,11339,11339,11339
1/16/07 6:00,12273,12273,12273,12273,12273
1/16/07 7:00,12558,12558,12558,12558,12558
1/16/07 8:00,12591,12591,12591,12591,12591
1/16/07 9:00,12558,12558,12558,12558,12558
1/16/07 10:00,12582,12582,12582,12582,12582
1/16/07 11:00,12288,12288,12288,12288,12288
1/16/07 12:00,12195,12195,12195,12195,12195
1/16/07 13:00,11993,11993,11993,11993,11993
1/16/07 14:00,11878,11878,11878,11878,11878
1/16/07 15:00,11943,11943,11943,11943,11943
1/16/07 16:00,12600,12600,12600,12600,12600
1/16/07 17:00,12690,12690,12690,12690,12690
1/16/07 18:00,12188,12188,12188,12188,12188
