Hour,day_ahead_norm,Wind Farm 1 (MW),day_ahead_norm,Wind Farm 2 (MW),day_ahead_norm,Wind Farm 3 (MW),day_ahead_norm,Wind Farm 4 (MW),day_ahead_norm,Wind Farm 5 (MW),Wind Farm 6 (MW),day_ahead_norm,Offshore Wind1 (MW),Offshore Wind (MW),year
1/2/07 3:00,0.616357327,9245.359898,0.712966084,10694.49127,0.728806078,10932.09118,0.655748963,9836.23445,0.627103329,9406.549931,10633.5023,0.708900154,0.796524644,11947.86966,2007
1/2/07 4:00,0.616357327,9245.359898,0.712966084,10694.49127,0.728806078,10932.09118,0.655748963,9836.23445,0.627103329,9406.549931,10633.5023,0.708900154,0.813741386,12206.12079,2007
1/2/07 5:00,0.616357327,9245.359898,0.712966084,10694.49127,0.728806078,10932.09118,0.655748963,9836.23445,0.627103329,9406.549931,10633.5023,0.708900154,0.834750235,12521.25353,2007
1/2/07 6:00,0.616357327,9245.359898,0.712966084,10694.49127,0.728806078,10932.09118,0.655748963,9836.23445,0.627103329,9406.549931,10633.5023,0.708900154,0.85654372,12848.1558,2007
1/2/07 7:00,0.616357327,9245.359898,0.712966084,10694.49127,0.728806078,10932.09118,0.655748963,9836.23445,0.627103329,9406.549931,10633.5023,0.708900154,0.876184046,13142.76069,2007
1/2/07 8:00,0.616357327,9245.359898,0.712966084,10694.49127,0.728806078,10932.09118,0.655748963,9836.23445,0.627103329,9406.549931,10633.5023,0.708900154,0.91329813,13699.47195,2007
1/2/07 9:00,0.616357327,9245.359898,0.712966084,10694.49127,0.728806078,10932.09118,0.655748963,9836.23445,0.627103329,9406.549931,10633.5023,0.708900154,0.953794658,14306.91987,2007
1/2/07 10:00,0.616357327,9245.359898,0.712966084,10694.49127,0.728806078,10932.09118,0.655748963,9836.23445,0.627103329,9406.549931,10633.5023,0.708900154,0.962183774,14432.75661,2007
1/2/07 11:00,0.616357327,9245.359898,0.712966084,10694.49127,0.728806078,10932.09118,0.655748963,9836.23445,0.627103329,9406.549931,10633.5023,0.708900154,0.970997155,14564.95733,2007
1/2/07 12:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.955334842,14330.02263,2007
